title,location,description,tags,ML?,ML task,innovation data task,validation task?,update record?,,,,,,,,,,,,,,,,,,
Disclosed Standard Essential Patents Database,http://ssopatents.org/,"The OEIDD database provides a full overview of all disclosed IPR at setting organizations world-wide. Based on the archives of thirteen major SSOs as of March 2011, the disclosure data is cleaned, harmonized, and all disclosed USPTO or EPO patents or patent applications are matched against patent identities in the PATSTAT database. Overall, the database contains 46,906 disclosed patents, patent applications or blankets, from 969 different firms, with 14057 USPTO or EPO patents or patent applications identified in PATSTAT, belonging to 4814 different INPADOC patent families and 5337 different DOCDB patent families. 
","disclosure, standards, patents",,,,,,,,,,,,,,,,,,,,,,,
USPTO OCE Patent Examination Research Data (PatEx),https://www.uspto.gov/ip-policy/economic-research/research-datasets/patent-examination-research-dataset-public-pair,"The latest version of PatEx (referred to below as the 2020 release) contains detailed information on nearly 11.9 million publicly-viewable provisional and non-provisional patent applications to the USPTO and over 4.6 million Patent Cooperation Treaty (PCT) applications. It is based on data that OCE downloaded from the Patent Examination Data System (PEDS) in April, 2021. The PEDS data are sourced from Public PAIR. The first time that OCE used PEDS as the basis of PatEx was for the 2019 release. We took the PEDS data and organized it into the familiar PatEx data files, which are based on the organization of the Public PAIR portal. The data files include information on each application’s characteristics, prosecution history, continuation history, claims of foreign priority, patent term adjustment history, publication history, and correspondence address information.","patents, legal, history",,,,,,,,,,,,,,,,,,,,,,,
SureChEMBL,https://www.surechembl.org/search/,"SureChEMBL is a publicly available large-scale resource containing compounds extracted from the full text, images and attachments of patent documents. The data are extracted from the patent literature according to an automated text and image-mining pipeline on a daily basis. SureChEMBL provides access to a previously unavailable, open and timely set of annotated compound-patent associations, complemented with sophisticated combined structure and keyword-based search capabilities against the compound repository and patent document corpus. Currently, the database contains 17 million compounds extracted from 14 million patent documents. ","biotechnology, health, chemical, bioinformatics, medical",,,,,,,,,,,,,,,,,,,,,,,
MatrixWare Research Collection,http://www.ifs.tuwien.ac.at/imp/marec.shtml,"MAREC Data is a static collection of over 19 million patent applications and granted patents in a unified file format normalized from EP, WO, US, and JP sources, spanning a range from 1976 to June 2008. In MAREC, the documents from different countries and sources are normalized to a common XML format with a uniform patent numbering scheme and citation format. The standardized fields include dates, countries, languages, references, person names, and companies as well as rich subject classifications. It is a comparable corpus, where many documents are available in similar versions in other languages. ","global, patents",,,,,,,,,,,,,,,,,,,,,,,
USPTO OCE Patent Claims Research Data,https://www.uspto.gov/ip-policy/economic-research/research-datasets/patent-claims-research-dataset,"The Patent Claims Research Dataset contain detailed information on claims from U.S. patents granted between 1976 and 2014 and U.S. patent applications published between 2001 and 2014. The dataset is derived from the Patent Application Publication Full-Text and Patent Grant Full Text files, available at https://bulkdata.uspto.gov/, to which the Office of Chief Economist (OCE) applied a Python algorithm to identify individual claims as well as the dependency relationship between claims. From the parsed claims text, OCE created six data files containing individually-parsed claims, claim-level statistics, and document-level statistics, including newly-developed measures of patent scope.","financial services, scope, economics",yes,summarisation,"dependency, scope",,,,,,,,,,,,,,,,,,,,
USPTO OCE Patent Assignment Data,https://www.uspto.gov/ip-policy/economic-research/research-datasets/patent-assignment-dataset,"The USPTO allows parties to record assignments of patents and patent applications to, as much as possible, maintain a complete history of claimed interests in a patent. The USPTO also permits recording of other documents that affect title (such as certificates of name change and mergers of businesses) or are relevant to patent ownership (such as licensing agreements, security interests, mortgages, and liens). The 2020 update to the Patent Assignment Dataset contains detailed information on 8.97 million patent assignments and other transactions recorded at the USPTO since 1970 and involving roughly 15.1 million patents and patent applications. It is derived from the recording of patent transfers by parties with the USPTO.","patents, claims, assignment",,,,,,,,,,,,,,,,,,,,,,,
USPTO Patent Trial and Appeal Board (PTAB) API Data ,https://developer.uspto.gov/ptab-web/#/search/decisions,"USPTO Patent Trial and Appeal Board (PTAB) API Data contains data from the PTAB E2E (end-to-end) system making public America Invents Action (AIA) Trials information and documents available.

This dataset is hosted as a RESTful API with an easy to use search interface. You can easily browse USPTO PTAB public documents, search for specific content, and request a bulk download of PTAB content. The PTAB API synchronizes close to real time with the PTAB E2E (end-to-end) system.","legal, trials, appeals",,,,,,,,,,,,,,,,,,,,,,,
Cooperative Patent Classification Data,https://www.cooperativepatentclassification.org/index,"Cooperative Patent Classification Data contains the scheme and definitions of the Cooperative Patent Classification system for classifying patent documents. The CPC is the result of a partnership between the EPO and the USPTO in their joint effort to develop a common, internationally compatible classification system for technical documents, in particular patent publications, which will be used by both offices in the patent granting process","patents, science",,,,,,,,,,,,,,,,,,,,,,,
ChEMBL,https://console.cloud.google.com/marketplace/product/google_patents_public_datasets/chembl,"ChEMBL Data is a manually curated database of small molecules used in drug discovery, including information about existing patented drugs.","biotechnology, health, chemical, bioinformatics, medical",,,,,,,,,,,,,,,,,,,,,,,
UniChem,https://www.ebi.ac.uk/unichem/beta/," UniChem is large-scale non-redundant database of pointers between chemical structures and EMBL-EBI chemistry resources. Its purpose is to optimise the efficiency with which structure-based hyperlinks may be built and maintained between chemistry-based resources, and is particularly suitable for creating such links 'on the fly' (by use of REST web services). Primarily, this service has been designed to maintain cross references between EBI chemistry resources. These include primary chemistry resources (ChEMBL, ChEBI and SureChEMBL), and other resources where the main focus is not small molecules, but which may nevertheless contain some small molecule information (eg: Gene Expression Atlas, PDBe). ","biotechnology, health, chemical, bioinformatics, medical",,,,,,,,,,,,,,,,,,,,,,,
ChemBL-NTD,https://chembl.gitbook.io/chembl-ntd/,"CHEMBL-NTD is a repository for Open Access primary screening and medicinal chemistry data directed at neglected diseases - endemic tropical diseases of the developing regions of the Africa, Asia, and the Americas. The primary purpose of ChEMBL-NTD is to provide a freely accessible and permanent archive and distribution centre for deposited data. ChEMBL-NTD is a subset of the data in the free medicinal chemistry and drug discovery database ChEMBL.","biotechnology, health, chemical, bioinformatics, medical, neglected diseases",,,,,,,,,,,,,,,,,,,,,,,
World Bank Development Indicators,https://datacatalog.worldbank.org/search/dataset/0037712,"World Development Indicators Data is the primary World Bank collection of development indicators, compiled from officially-recognized international sources. It presents the most current and accurate global development data available, and includes national, regional and global estimates.","development, growth, global",,,,,,,,,,,,,,,,,,,,,,,
CPA Global Technical Standards ETSI Data ,https://console.cloud.google.com/marketplace/product/google_patents_public_datasets/cpa-global-technical-standards-etsi,European Telecommunications Standards Institute (ETSI) IPR dataset for technical standards. These are the US assets disclosed by companies as related to technical standards in ETSI. The two major ones included are 3GPP and LTE.,"standards, technology",,,,,,,,,,,,,,,,,,,,,,,
337Info - Unfair Import Investigations Information System,https://pubapps2.usitc.gov/337external/,US International Trade Commission 337Info Unfair Import Investigations Information System contains data on investigations done under Section 337. Section 337 declares the infringement of certain statutory intellectual property rights and other forms of unfair competition in import trade to be unlawful practices. Most Section 337 investigations involve allegations of patent or registered trademark infringement.,"import, legal, trade",,,,,,,,,,,,,,,,,,,,,,,
IFI Claims Patent Data Enrichments,https://www.ificlaims.com/product/product-data-enrichments.htm,IFI CLAIMS Patent Data Enrichments includes standardized assignee/applicant names and integrated legal status information.,"analytics, patents",,,,,,,,,,,,,,,,,,,,,,,
USPTO OCE Cancer Moonshot Patent Data,https://www.uspto.gov/ip-policy/economic-research/research-datasets/cancer-moonshot-patent-data,"The USPTO Cancer Moonshot Patent Data contains detailed information on published patent applications and granted patents relevant to cancer research and development (R&D). We generate the dataset using USPTO examiner tools to execute a series of queries designed to identify cancer-specific patents and patent applications. We apply several approaches to ensure coverage of the various fields and subject matter that cancer-related innovations encompass. These include drugs, diagnostics, surgical devices, data analytics, and genomic-based inventions. The final dataset consist of roughly 270,000 patent documents spanning the 1976 to 2016 period. ","health, cancer, drug discovery, biotechnology",,,,,,,,,,,,,,,,,,,,,,,
UCB Fung Institute Patent Data ,https://console.cloud.google.com/marketplace/product/google_patents_public_datasets/ucb-fung-patent,"Drawing upon recent advances in machine learning and natural language processing, we introduce new tools that automatically ingest, parse, disambiguate and build an updated database using United States patent data. The tools identify unique inventor, assignee, and location entities mentioned on each granted US patent from 1976 to 2016. We describe data flow, algorithms, user interfaces, descriptive statistics, a novelty measure based on the first appearance of a word in the patent corpus, and an automated co-inventor network mapping tool. ","patents, machine learning, disambiguation, metrics, novelty",yes,parsing,"name disambiguation, geocoding, novelty",,,,,,,,,,,,,,,,,,,,
Patent PDF Samples with Extracted Structured Data ,https://console.cloud.google.com/marketplace/product/global-patents/labeled-patents,"The dataset consists of PDFs in Google Cloud Storage from the first page of select US and EU patents, and BigQuery tables with extracted entities, labels, and other properties, including a link to each file in GCS. The structured data contains labels for eleven patent entities (patent inventor, publication date, classification number, patent title, etc.), global properties (US/EU issued, language, invention type), and the location of any figures or schematics on the patent's first page.

The structured data is the result of a data entry operation collecting information from PDF documents, making the dataset a useful testing ground for benchmarking and developing AI/ML systems intended to perform broad document understanding tasks like extraction of structured data from unstructured documents. This dataset can be used to develop and benchmark natural language tasks such as named entity recognition and text classification, AI/ML vision tasks such as image classification and object detection, as well as more general AI/ML tasks such as automated data entry and document understanding. Google is sharing this dataset to support the AI/ML community because there is a shortage of document extraction/understanding datasets shared under an open license.
","machine learning, OCR, document recognition, benchmarking",yes,"entity extraction, labelling",entity extraction,,,,,,,,,,,,,,,,,,,,
GRID: Global Database of Research Institutes ,https://www.grid.ac/,"GRID is a free and openly available global database of over 100,000 research-related organisations, including healthcare organizations, companies, governments, non-profits, each provided with a unique and persistent identifier. In addition to IDs and names, the data is augmented with with locations, addresses, hierarchical structures and much more.

Open IDs such as GeoNames IDs, NUTS3 regions, WikiData IDs, CrossRef Open Funder Registry IDs, ISNI and link to country specific IDs like UCAS codes, UKPRN numbers, HESA codes are used. ","disambiguation, geography, institutions",,,,,,,,,,,,,,,,,,,,,,,
Transportation Economics in the 21st Century,https://www.nber.org/research/data/transportation-economics-21st-century-data-resources,"Improving access to data sets related to transportation economics and facilitating research with these datasets are cental objectives of this project. Post-doctoral researcher Caitlin Gorback, with advice from from a steering committee including Nathaniel Baum-Snow of the University of Toronto, Leah Brooks of George Washington University, Edward Glaeser, Harvard University and NBER, Stephen Redding, Princeton University and NBER, and Matthew Turner of Brown University and NBER, has collected information on a number of data sets that are available from the Department of Transportation (DOT) or that have been created by researchers who have made them available for folllow-on study. These data have been organized into several major categories below. The DOT data span a wide range of transportation modes and include information about the transportation infrastructure, the delivery of transportation services, and the demand for these services. ","geography, transportation, trade, logistics, infrastructure",,,,,,,,,,,,,,,,,,,,,,,
NBER Macrohistory Database,https://www.nber.org/research/data/nber-macrohistory-database,"During the first several decades of its existence, the National Bureau of Economic Research (NBER) assembled an extensive data set that covers all aspects of the pre-WWI and interwar economies, including production, construction, employment, money, prices, asset market transactions, foreign trade, and government activity. Many series are highly disaggregated, and many exist at the monthly or quarterly frequency. The data set has some coverage of the United Kingdom, France and Germany, although it predominantly covers the United States.
",,,,,,,,,,,,,,,,,,,,,,,,
American Business Cycle,https://www.nber.org/research/data/tables-american-business-cycle,"Presented here are the tables of quarterly data from Appendix B of ""The American Business Cycle: Continuity and Change"" Edited by Robert J. Gordon. National Bureau of Economic Research Studies in Business Cycles Volume 25, Univerisity of Chicago Press 1986. For information about sources and methods please see that volume.

A feature of that volume is an extensive data appendix, compliled as a project independent of the conference in collaboration with Nathan S. Balke. The unique value of this data set is the fact that it is the only existing source for the pre-1947 quarterly data, as NIPA quarterly data series do not otherwise exist before 1947. These files include the components of GDP back from 1941 to 1919 and the quarterly real GDP back to 1875.",,,,,,,,,,,,,,,,,,,,,,,,
Census Block Distance Database,https://www.nber.org/research/data/block-distance-database,"Census Block Distances are great-circle distances calculated using the Haversine formula based on internal points in the geographic area.

Census Blocks are from Census 2000 SF1 and Census 2010 SF1 files. Census Blocks ""are statistical areas bounded by visible features, such as streets, roads, streams, and railroad tracks, and by nonvisible boundaries, such as selected property lines and city, township, school district, and county limits and short line-of-sight extensions of streets and roads.""","population, geography",,,,,,,,,,,,,,,,,,,,,,,
Historical Cross-Country Technology Adoption (HCCTA) Dataset,https://www.nber.org/research/data/historical-cross-country-technology-adoption-hccta-dataset,This Historical Cross Country Technology Adoption Dataset is a dataset that was collected to allow for the analysis of the adoption patterns of some of the major technologies introduced in the past 250 years across the World's leading industrialized economies.,"geography, technology, adoption, metrics",,,,,,,,,,,,,,,,,,,,,,,
Computer Retrieval of Information on Scientific Projects,https://www.nber.org/research/data/computer-retrieval-information-scientific-projects,"The NIH CRISP (Computer Retrieval of Information on Scientific Projects) is a searchable database of federally funded biomedical research projects conducted at universities, hospitals, and other research institutions. This dataset has not been updated since 2007, but is relevant to historic research",,,,,,,,,,,,,,,,,,,,,,,,
CMS's SSA to FIPS CBSA and MSA County Crosswalk,https://data.nber.org/data/cbsa-msa-fips-ssa-county-crosswalk.html,CMS periodically produces SSA to FIPS CBSA to county crosswalk files. They released a CBSA to MSA to FIPS county crosswalk as well. Some CMS data files have SSA state and county codes or county name rather than FIPS state and county codes. Jean Roth processed the data files below for greater ease of use. ,"geography, crosswalk, united states",,,,,,,,,,,,,,,,,,,,,,,
OpenAlex,https://docs.openalex.org/download-snapshot,"OpenAlex is a free and open catalog of the world's scholarly papers, researchers, journals, and institutions — along with all the ways they're connected to one another.  It is maintained by the non-profit OurResearch.","citation, scholarly literature",,,,,,,,,,,,,,,,,,,,,,,
Breadth and RETech (Text-based),https://bowen.finance/bfh_data/,"Patent-level variables that provide researchers a new way to characterize innovation within public firms, startups, places and more. Importantly, they are distinct from existing measures and do not have look-ahead bias: they only use information available in the patent itself. RETech is higher for patents related to waves of innovation.","patents, breakthrough, evolution, waves, productivity",,,,,,,,,,,,,,,,,,,,,,,
Indicators on firm level innovation activities from web scraped data,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/CI5XRR,"This data sample (in support the article ""Indicators on firm level innovation activities from web scraped data"" https://ssrn.com/abstract=3938767) contains data on companies' innovative behavior measured at the firm-level based on web scraped firm-level data derived from medium-high and high-technology companies in the European Union and the United Kingdom. The data are retrieved from individual company websites and contains in total data on 96,921 companies. The data provide information on various aspects of innovation, most significantly the research and development orientation of the company at the company and product level, the company’s collaborative activities, company’s products, and use of standards. In addition to the web scraped data, the dataset aggregates a variety firm-level indicators including patenting activities. In total, the dataset includes 28 variables with unique identifiers which enables connecting to other databases such as financial data. (2021-10-04)","innovation, digitalization, web mining, big data",,,innovation measurement,,,,,,,,,,,,,,,,,,,,
PatentText,https://dataverse.harvard.edu/dataverse/patenttext,"We provide open access to the code and data to calculate the text-based similarity between any two utility patents granted by the United States Patent and Trademark Office between 1976 and 2013, or between any two patent portfolios ","patent, keywords, matching, text mining, patent classification, technological similarity",,similarity,patent similarity,,,,,,,,,,,,,,,,,,,,
NBER Orange Book Dataset,https://www.nber.org/research/data/orange-book-patent-and-exclusivity-data-1985-2016,"Each edition of the Orange Book provides a snapshot of unexpired patent protection at a moment in time. As patents on a drug expire and new patents are issued, these changes are reflected in later editions. The Orange Book also provides a snapshot of unexpired regulatory exclusivity granted by the FDA. For example, certain novel drugs receive five years of regulatory exclusivity that blocks the entry of generic competition, even in the absence of any patents. Combining multiple editions reveals a comprehensive picture of patent and regulatory protection as it evolves over a drug’s lifecycle. These data files provide digital versions of the US Food and Drug Administration (FDA)'s Orange Book patent and exclusivity tables for years 1985-2016 (no Orange Book was published in 1986). 

PDF versions of the Orange Books were obtained via a Freedom of Information Act (FOIA) request, and data from these PDF files was either hand-entered or parsed in order to create the digital files.","drugs, pharmaceuticals, us, exclusivity",,,,,,,,,,,,,,,,,,,,,,,
FDA Orange Book Database,https://www.fda.gov/drugs/drug-approvals-and-databases/approved-drug-products-therapeutic-equivalence-evaluations-orange-book,"The publication Approved Drug Products with Therapeutic Equivalence Evaluations (commonly known as the Orange Book) identifies drug products approved on the basis of safety and effectiveness by the Food and Drug Administration (FDA) under the Federal Food, Drug, and Cosmetic Act (the Act) and related patent and exclusivity information.","drugs, pharmaceuticals, us, exclusivity",,,,,,,,,,,,,,,,,,,,,,,
Google Patent Phrase Similarity Dataset,https://www.kaggle.com/datasets/google/google-patent-phrase-similarity-dataset,"This is a human rated contextual phrase to phrase matching dataset focused on technical terms from patents. In addition to similarity scores that are typically included in other benchmark datasets we include granular rating classes similar to WordNet, such as synonym, antonym, hypernym, hyponym, holonym, meronym, domain related. The dataset was used in the U.S. Patent Phrase to Phrase Matching competition.","phrases, similarity, semantic matching, validation",,"classification, similarity","keyword extraction, patent similarity, patent classification",,,,,,,,,,,,,,,,,,,,
Korea Patent Data Project (KoPDP),https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AUYERV,"The project collects all utility patents granted from the Korea Intellectual Property Office (KIPO) for the period 1948-2016 and the US Patent and Trademark Office (USPTO) for the period 1976-2017. The project also matches their assignees to firms in DataGuide 5.0, a Korean financial database. The resulting dataset includes total 14,803 listed and non-listed Korean firms matched with their Korean and US patents, in addition to a host of accounting and financial information. Over 45% of all sample KIPO patents and 87% of US patents assigned to Korean assignees are matched. ","korea, patent, uspto",,,,,,,,,,,,,,,,,,,,,,,
US Bureau of Economic Analysis Data,https://www.bea.gov/data,"The US Bureau of Economic Analysis publishes live data and metrics on GDP, industries, government investment and R&D spending, international trade, consumer spending and investment. This data is exposed through their API, and also made available through an R package (bea.R).","us, gdp, industry, consumer, investment, R&D",,,,,,,,,,,,,,,,,,,,,,,
FnGuide,https://www.fnguide.com/,"Database of financial information about Korean firms, plus national banking, finance and economic data","korea, financial, firms",,,,,,,,,,,,,,,,,,,,,,,
ORBIS Intellectual Properties,https://www.bvdinfo.com/en-gb/our-products/data/international/orbis-intellectual-property,Database that links patents to companies,"IP, patents, litigation",,,firm matching,,,,,,,,,,,,,,,,,,,,
"Semantic similarity of patent-standard pairs (ETSI, IEEE, ITUT)",https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/B2RJSX,"We provide data with information on the semantic similarity of more than 200 million patent-standard pairs for three major standard-setting organizations: ETSI, IEEE and ITU-T. The semantic similarity of patents to standards can be used to approximate their standard essentiality.","patents, standards, similarity, standard essentiality, SEPs",,"semantic analysis, similarity",patent similarity,,,,,,,,,,,,,,,,,,,,
Inventor biography data linked to administrative data of the IAB (INV-BIO ADIAB),https://fdz.iab.de/en/our-data-products/individual-and-household-data/inv-bio-adiab/,"We introduce the employer-employee inventor dataset INV-BIO ADIAB 1980-2014, which records complete biographies of more than 150,000 inventors in Germany between 1980 and 2014. This dataset tracks each inventor’s employment status and inventive output over time with high precision.

Linked at the person level, the INV-BIO ADIAB data comprise about 150,000 inventors in Germany with daily information on their employment careers drawn from IAB data sources and detailed patent track records for inventions registered at the European Patent Office or the German Patent and Trademark Office, respectively. All inventors recorded in the INV-BIO ADIAB data filed at least one patent with the European Patent Office between 1999 and 2011 and were identified in the administrative labor market data of the IAB as employees and disambiguated using a combination of record linkage and machine learning methods.","patents, biography, inventors, EPO, Germany",,,name disambiguation,,,,,,,,,,,,,,,,,,,,
Disclosure of Patenting Activities within Scientific Publications as Potential Conflict-of-Interests: Evidences from Biomedical Literature,,"Most scientific publishers require authors to submit their manuscripts with a text reporting their own parallel activities, including patent-related ones, that may be considered as potential Conflict-of-Interest (COI). The authors’ or institutional patenting activities disclosed as COI in the official version of the article within Conflict-of-Interest Statements (COIS) are generally analysed in the literature using either very focused or non-systematic approaches. This study proposes methods for assessing COIS presence and main features, particularly with respect to patent information, across biomedical topics and journals that are covered in the PubMed database for the period 2011-2022.

The data used for this project is obtained via structured searches of PubMed and Scholar Lens, using searches detailed in the documentation.","Conflict of interest, Non-patent Literature, Patents, PubMed, Scientific databases, COVID-19",,,,,,,,,,,,,,,,,,,,,,,
Stanford NLP Model Output for Biofuel Patent Classification,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/29374,"Through use of natural language processing and machine-learning algorithms, we expand patent classification capabilities to better explain the history of biofuels innovation.

This NLP model was generated using the Stanford NLP Classifier (available from: http://nlp.stanford.edu/software/classifier.shtml). The model was trained using a random selection of 700 manually classified biofuel patents from 1976 through 2013, and validated against 300 manually classified biofuel patents on January 03, 2014. Included are the classification results and associated patent numbers for both the manually trained patents, and for the automatically categorized patents. (2015-03)","biofuel, patents, energy policy",,,,,,,,,,,,,,,,,,,,,,,
Research Disclosures,https://www.questel.com/patent/patent-strategy-and-administration/search-defensive-publications/,"Research disclosures are a form of defensive publication, that establish innovations as prior art and prevent the same invention from being patented. ",,,,,,,,,,,,,,,,,,,,,,,,
AltMetrics,https://www.altmetric.com/,"Tracks a combination of public policy documents, wikipedia, open syllabi, social media and mainstream media to provide enhanced measures of academic impact.",research metrics,,,,,,,,,,,,,,,,,,,,,,,
EurekAlert,https://www.eurekalert.org,"EurekAlert! is a nonprofit news-release distribution platform operated by the American Association for the Advancement of Science (AAAS) as a resource for journalists and the public. EurekAlert! hosts news releases produced by universities, journal publishers, medical centers, government agencies, corporations, and other organizations engaged in all disciplines of scientific research. EurekAlert! only accepts content contributions from public information officers (PIOs) at eligible organizations that conduct, publish, or fund scientific research.",media mentions,,,,,,,,,,,,,,,,,,,,,,,
Journal Commercial Impact Factor,https://github.com/mattmarx/jcif,"This measure is analogous to the commonly used Journal Impact Factor (JIF), which is also calculated here. A journal’s impact factor is a popular measure of its quality, calculated for year t as the number of times articles from years t-1 and t-2 were cited during year t, divided by the number of articles published during years t-1 and t-2. Just like JIF is a journal-level measure of quality, it is possible to build a journal-level measure of appliedness or commercial relevance by replacing paper-to-paper citationss by patent-to-paper citations.",,,,,,,,,,,,,,,,,,,,,,,,
NIH Research Portfolio Online Reporting Tools Database (ExPORTER),https://reporter.nih.gov/exporter,"ExPORTER is an open data dump of the National Institute of Health RePORTER database, which tracks administrative data on NIH funded projects. ExPORTER provides bulk administrative data found in RePORTER to the public for detailed analyses or to load into their own data systems. Generally, files for downloading are provided in CSV formats.","scholarly, public funding, USA, health, health policy",,,,,,,,,,,,,,,,,,,,,,,
KPSS patent assignees to firms ,https://github.com/KPSS2017/Technological-Innovation-Resource-Allocation-and-Growth-Extended-Data,"We propose a new measure of the economic importance of each innovation. Our measure uses newly collected data on patents issued to U.S. firms in the 1926 to 2010 period, combined with the stock market response to news about patents. Our patent-level estimates of private economic value are positively related to the scientific value of these patents, as measured by the number of citations the patent receives in the future.

This data provides an updated data series for KPSS values and forward citations, a patent number to the CRSP ""permno"" match and a patent number to CPC class match.","metrics, market",,,,,,,,,,,,,,,,,,,,,,,
Long-run dynamics of the US patent classification system,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZJCDCE,"The dataset contains several files used in the paper ""Long-run dynamics of the US patent classification system"" by François Lafond and Daniel Kim. The files contain data on the evolution of the number of classes in the United States Patent Classification System between 1836 and 2015, data on the original (at grant date) and current (2015) primary classification at the class level of patents granted between 1976 and 2015, and related supporting files.","patents, classification systems, reclassification",,,,,,,,,,,,,,,,,,,,,,,
BIGPATENT,https://huggingface.co/datasets/big_patent,"BIGPATENT, consisting of 1.3 million records of U.S. patent documents along with human written abstractive summaries. Each US patent application is filed under a Cooperative Patent Classification (CPC) code.

Compared to existing summarization datasets, BIGPATENT has the following properties: i) summaries contain a richer discourse structure with more recurring entities, ii) salient content is evenly distributed in the input, and iii) lesser and shorter extractive fragments are present in the summaries. Finally, we train and evaluate baselines and popular learning models on BIGPATENT to shed light on new challenges and motivate future directions for summarization research.","patents, summarization, classification, validation",yes,"summarisation, classification",classification,,,,,,,,,,,,,,,,,,,,
FinBERT,https://huggingface.co/ProsusAI/finbert,"FinBERT is a pre-trained NLP model to analyze sentiment of financial text. It is built by further training the BERT language model in the finance domain, using a large financial corpus and thereby fine-tuning it for financial sentiment classification. Financial PhraseBank by Malo et al. (2014) is used for fine-tuning.","financial, sentiment, validation",yes,sentiment analysis,financial market analysis,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence Patent Dataset,https://www.uspto.gov/ip-policy/economic-research/research-datasets/artificial-intelligence-patent-dataset,"The Artificial Intelligence Patent Dataset consists of two files, both released by the OCE. The first data file identifies United States (U.S.) patents issued between 1976 and 2020 and pre-grant publications (PGPubs) published through 2020 that contain one or more of several AI technology components (including machine learning, natural language processing, computer vision, speech, knowledge processing, AI hardware, evolutionary computation, and planning and control). 

OCE generated this data file using a machine learning (ML) approach that analyzed patent text and citations to identify AI in U.S. patent documents. The second data file contains the patent documents used to train the ML models.","AI, validation, patents",yes,semantic analysis,"patent identification, classification",,,,,,,,,,,,,,,,,,,,
CLEF-IP,http://www.ifs.tuwien.ac.at/~clef-ip/index.html,"CLEF was a long-running project to benchmark cross-language information retrieval (IR) models. CLEF-IP was a strand of this benchmarking research that ran from 2010-2013, the data from which was used as a benchmarking activity of the CLEF 2010-2013 conferences.

The CLEF-IP collection contains patents, physically stored as a collection of XML fields encoding patent documents. A patent document may be an application document, a search report, or a granted patent document. 

All textual documents in the CLEF-IP collection contain the following main XML fields: bibliographic data, abstract, description, and claims. Not all documents actually have content in these _x001c_elds. 

The datasets are archived on the CLEF-IP site, and in the TU Wien research data repository (with DOIs) here: https://researchdata.tuwien.at/search?q=clef-ip&l=list&p=1&s=10&sort=bestmatch","validation, information retrieval, patents, semantic",,,,,,,,,,,,,,,,,,,,,,,
Women in the Copyright System,https://www.copyright.gov/policy/women-in-copyright-system/,"Coverage: The data set contains copyright registration records, copyright renewal records, and recorded document records, from January 1, 1978, to July 8, 2021.

Content: The data set contains information on authors, types of works registered, publication status, and other relevant copyright information. More detailed descriptions of the fields, variables, and definitions can be found in the Library of Congress Copyright Data as Distributed in the Marc Format document available here.

The data are available in twenty-six file parts, numbered sequentially, and include recorded document and registration records. Registration and recorded document records for any variable or year may be present in multiple file parts. Individual file parts may not contain all available records pertaining to any specific variable and may not be suitable for analysis independent of the full data set.","copyright, gender, united states",,,,,,,,,,,,,,,,,,,,,,,
World Management Survey,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OY6CBK,"The World Management Survey is the first cross-country, cross-industry dataset built to measure the quality of management practices in establishments. The WMS is an interview-based evaluation tool that defines 18 key management practices, and scores them from 1 (“worst practice”) to 5 (“best practice”). The evaluation focuses on three key areas: First, monitoring: How well do organizations monitor what goes on inside the firm, and then use this information for continuous improvement? Second, targets: Do organizations set the right targets, track the right outcomes, and take appropriate action if the two are inconsistent? Third, incentives/people management: Are organizations promoting and rewarding employees based on performance, prioritizing careful hiring, and trying to keep their best employees? For more information about the dataset and to request access to the identified version of the dataset and for further variables, please visit the website https://worldmanagementsurvey.org/",management,,,,,,,,,,,,,,,,,,,,,,,
Measuring the Position and Differentiation of Firms in Technology Space,https://zenodo.org/record/5172146,"Although the rate of invention by firms and the effect on firm performance have been central themes in economics and strategy, the position and differentiation of invention by firms have received less attention. We develop a method to characterize a firm’s technology portfolio based on the semantic content of patents that allows us to map a firm’s unique spatial position relative to every other firm in technology space and to measure the overall differentiation of a firm’s technology portfolio. Using a large panel of U.S. public firms from 1980 to 2015, we illustrate that technology differentiation has a strong positive correlation with firm performance, particularly in research and development-intensive industries and industries with strong product market rivalry. We also show that technology differentiation is associated with subsequent differentiation from competitors in the product market and a reduction in outgoing technology spillovers to other firms. We provide open access to code and data to characterize the technology portfolio of firms and to measure the technological position and differentiation of U.S. public firms.","differentiation, semantic analysis, competition",yes,semantic analysis,semantic analysis,,,,,,,,,,,,,,,,,,,,"Thu, 21 Sep 2023 16:18:23 GMT"
